Source,Target,Type,Id,Label,Weight
0,1,Directed,0,,0.00468
2,3,Directed,1,,0.00518
4,5,Directed,2,,0.00518
6,7,Directed,3,,0.00518
8,9,Directed,4,,0.00518
10,11,Directed,5,,0.00518
12,13,Directed,6,,0.00518
14,15,Directed,7,,0.00518
16,17,Directed,8,,0.00518
18,19,Directed,9,,0.00518
20,21,Directed,10,,0.00518
22,23,Directed,11,,0.00518
24,25,Directed,12,,0.00518
26,27,Directed,13,,0.00518
28,29,Directed,14,,0.00518
30,31,Directed,15,,0.00518
32,33,Directed,16,,0.00518
34,35,Directed,17,,0.004978
34,36,Directed,18,,0.002467
34,34,Directed,19,,64.765197
37,38,Directed,20,,0.002053
37,37,Directed,21,,0.002435
37,638,Directed,22,,0.02
37,639,Directed,23,,0.0162
37,893,Directed,24,,0.00838
37,894,Directed,25,,0.164929
37,895,Directed,26,,0.014
37,1190,Directed,27,,0.01
39,40,Directed,28,,0.999945
41,42,Directed,29,,0.006696
43,44,Directed,30,,0.000477
43,43,Directed,31,,0.124794
43,519,Directed,32,,0.000487
45,46,Directed,33,,0.002
45,45,Directed,34,,0.014476
45,47,Directed,35,,89
45,50,Directed,36,,0.000691
45,290,Directed,37,,0.001153
45,291,Directed,38,,0.043758
45,292,Directed,39,,0.008625
45,293,Directed,40,,0.001051
45,294,Directed,41,,0.001715
45,648,Directed,42,,0.0002
45,649,Directed,43,,0.001006
45,650,Directed,44,,0.001402
45,651,Directed,45,,0.000618
45,652,Directed,46,,0.778311
45,653,Directed,47,,0.001861
45,654,Directed,48,,0.002735
45,655,Directed,49,,0.012661
45,656,Directed,50,,0.00011
45,657,Directed,51,,0.000652
45,658,Directed,52,,0.001424
45,659,Directed,53,,0.0037
45,903,Directed,54,,0.146957
45,904,Directed,55,,0.0012
45,905,Directed,56,,0.006017
45,906,Directed,57,,0.00037
45,907,Directed,58,,0.000254
45,908,Directed,59,,0.000794
45,909,Directed,60,,0.0001
45,910,Directed,61,,0.001445
45,911,Directed,62,,0.001424
45,1200,Directed,63,,0.000695
45,1201,Directed,64,,0.002371
45,1202,Directed,65,,0.001422
45,1203,Directed,66,,0.014778
45,1204,Directed,67,,0.032805
45,1205,Directed,68,,0.01224
45,1206,Directed,69,,0.012073
45,1207,Directed,70,,0.000874
45,1208,Directed,71,,0.000162
45,1288,Directed,72,,0.001057
48,49,Directed,73,,0.5124
48,48,Directed,74,,0.000071
49,48,Directed,75,,0.512378
51,52,Directed,76,,0.000003
51,51,Directed,78,,0.116314
51,298,Directed,79,,0.000003
51,520,Directed,80,,0.000003
51,669,Directed,81,,0.000003
51,1267,Directed,82,,0.000003
54,55,Directed,83,,0.006307
56,57,Directed,84,,0.00388
58,59,Directed,85,,0.000238
58,58,Directed,86,,0.170853
60,61,Directed,87,,0.000865
62,63,Directed,88,,0.535325
62,64,Directed,89,,0.551652
65,66,Directed,90,,0.079981
65,67,Directed,91,,0.176007
68,69,Directed,92,,0.004
70,71,Directed,93,,0.132866
72,73,Directed,94,,0.39989
74,75,Directed,95,,0.000156
76,75,Directed,96,,0.00174
77,78,Directed,97,,0.001135
77,79,Directed,98,,0.002166
80,81,Directed,99,,0.001608
82,83,Directed,100,,0.00011
84,85,Directed,101,,0.058682
84,86,Directed,102,,0.000314
84,87,Directed,103,,0.000711
84,88,Directed,104,,0.05868
84,89,Directed,105,,0.007217
84,90,Directed,106,,0.000176
84,91,Directed,107,,0.000012
84,92,Directed,108,,0.000063
84,93,Directed,109,,0.000764
84,94,Directed,110,,0.001173
84,95,Directed,111,,0.000577
