Id,Label,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,modularity_class,Label_copy,clustering
0,0,1,1,1,0,0,1,1,0,0.00468,0.00468,0,bc1pkzg6j3pw97dn7qqtt38sgfdmd7qc2nplmppvfqajnlqhy4yux9rqw8tx8h,0
1,1,0,0,0,0,1,0,1,0.00468,0,0.00468,0,bc1p65sp6z9997dysrm8fkug4mzep3uzalj8mvq6srpzuqhcxaj07hds7vvnf9,0
2,2,1,1,1,0,0,1,1,0,0.00518,0.00518,1,bc1pg8xe2q556380svkt9qr7ymwzpnpkje9vhj4duwm0ddkwcmczga2qwe8k3n,0
3,3,0,0,0,0,1,0,1,0.00518,0,0.00518,1,bc1p8e9tyartfs3j2df5rfc6jwreptpq5jh02jzwty7vc33qj2c8e5wqeyccqm,0
4,4,1,1,1,0,0,1,1,0,0.00518,0.00518,2,bc1pdfqsxsx0mekvaa8e43yxtvdfsu9dtxhwp2d8yfj82c62yryuzpzs5lnw83,0
5,5,0,0,0,0,1,0,1,0.00518,0,0.00518,2,bc1pcfgz45tl4pca269wqv8ug50c08sx3rn72q69xfrfh6thj87nevnq73kav4,0
6,6,1,1,1,0,0,1,1,0,0.00518,0.00518,3,bc1p0jwx06zfuzvkvx02cjhwxtm5h7g54d8f7h4m4vpygmwtnnx96xsqtzy2qm,0
7,7,0,0,0,0,1,0,1,0.00518,0,0.00518,3,bc1pyg9nw070sn7aunvzdwd9g76vylny3tkh2phrz0gkymsm9glkjzmquek2hc,0
8,8,1,1,1,0,0,1,1,0,0.00518,0.00518,4,bc1pphsu6ngz5er2pvekdmygmf9uq459zls7f08sv0espka5mapw78pqh5lx46,0
9,9,0,0,0,0,1,0,1,0.00518,0,0.00518,4,bc1php46ude0kexce2v0z7452xdngeu7yptlhzq244j4xzvc5xxxp9ssn264ms,0
10,10,1,1,1,0,0,1,1,0,0.00518,0.00518,5,bc1pp4md9l3sqrcghl6eq2vcrsd5u8f038zdcjf88sjak8ky7dwt388qtmzqem,0
11,11,0,0,0,0,1,0,1,0.00518,0,0.00518,5,bc1pukwakvulntwdmuxenfqrnce53l43atq60042cseswxltkklggrqq66w8ad,0
12,12,1,1,1,0,0,1,1,0,0.00518,0.00518,6,bc1p36twd5n0g5k47fr2rg3f48rjw7djkpafy0dky7aw8t94zztznwzqnxgecn,0
13,13,0,0,0,0,1,0,1,0.00518,0,0.00518,6,bc1pk57px6shgl56rm9vp2mufqvr3ghne39sc30r2ulv05ghlmfr5tfsh03shn,0
14,14,1,1,1,0,0,1,1,0,0.00518,0.00518,7,bc1p7lzw0s99teg04v2k0gr7ku3m9jsz0ylnju6n0v3av6etjmuaujtq77th97,0
15,15,0,0,0,0,1,0,1,0.00518,0,0.00518,7,bc1pksya0ef3c8dzp2580rxr2lf6ne8yuunnm4akpyvkf9xh6f3fpjlslll6wd,0
16,16,1,1,1,0,0,1,1,0,0.00518,0.00518,8,bc1p4mz2wxsrn8wehdzgnh4dy8lr59s3ynhxq0a2hae6jz04qv6pzt0syp42zp,0
17,17,0,0,0,0,1,0,1,0.00518,0,0.00518,8,bc1pmvhm2fdlt2gw6xxj8w60gf3acl7ra3ct9c86ezns3jm0cq7mlklsjrxcja,0
18,18,1,1,1,0,0,1,1,0,0.00518,0.00518,9,bc1pxpa4e42c3wcgrfvjt4mqe98qn0ww4vafnlu99mgd7c94pd0ulrwq5wc7qa,0
19,19,0,0,0,0,1,0,1,0.00518,0,0.00518,9,bc1psjltea9c4z4muyyenwcak5j7phqd7g9r0838mtxyhmh8sc995q7sx408n2,0
20,20,1,1,1,0,0,1,1,0,0.00518,0.00518,10,bc1ph4gc0y3cst73qtvne4nhywfxlppgt47lyekqqjfefcet5my3jyzsrumvar,0
21,21,0,0,0,0,1,0,1,0.00518,0,0.00518,10,bc1p7tg699k8sxhsjxhafetdcwrgc3wl0q8dnxdez63stz4q4w4myy0sc77g0n,0
22,22,1,1,1,0,0,1,1,0,0.00518,0.00518,11,bc1p2nm73gae82yzlxvh0m524hxxrqdqyhpvl49um475pz6rf5pwup4qjrx52x,0
23,23,0,0,0,0,1,0,1,0.00518,0,0.00518,11,bc1p29tagyjvqf9pwejhwft0zqrs64hvzczwf6h7ltzmfa7mjvmkuk3q0j36ug,0
24,24,1,1,1,0,0,1,1,0,0.00518,0.00518,12,bc1plydyrzsjkcf53k0hy90067552sv93uljf9h65yuy35dqfwq0ejlqw58ywe,0
25,25,0,0,0,0,1,0,1,0.00518,0,0.00518,12,bc1pg955ryvh8dxml56fjdnl3npsydknl8ndad208p4nvzy9kx904x9q4smtju,0
26,26,1,1,1,0,0,1,1,0,0.00518,0.00518,13,bc1puwd2ugqweq2rpmnj8t8grmr4ldpr84n4zm05u5vd373u8azx2f2qgemeka,0
27,27,0,0,0,0,1,0,1,0.00518,0,0.00518,13,bc1pnxsfuns43k2m082xvdt76rctt734ztcn0y0gmlu4l6x4pq6g7w6spuqvem,0
28,28,1,1,1,0,0,1,1,0,0.00518,0.00518,14,bc1pe9guvz5ulx3a3tzmd2wwsyex2ua3qlxq9aswgttlkde29dk9dv0sxulvlm,0
29,29,0,0,0,0,1,0,1,0.00518,0,0.00518,14,bc1p7hu0ueae2kdqc7zw0h8y8zynmzp44axg6guv0wz7e7tlj8xmpmfquteek7,0
30,30,1,1,1,0,0,1,1,0,0.00518,0.00518,15,bc1pm7ncejk22wvxdh5nsqtyhq7lgq6cxhk4cavqmpxy83f9us0qekaq3r2af8,0
31,31,0,0,0,0,1,0,1,0.00518,0,0.00518,15,bc1p3a9r9qvkvpngve7shrgyklmtajzydvf986k3fzzsljdfzffdq6vs70t36x,0
32,32,1,1,1,0,0,1,1,0,0.00518,0.00518,16,bc1pf8g9henjcm4r2837ze9p7jn4mxm0fqddxktf06t5zze9w5t2nkaqv6a59k,0
33,33,0,0,0,0,1,0,1,0.00518,0,0.00518,16,bc1p5w63gww8z6tx5nd2c7cqkvetp6ypr0d8dw378etmsmqnxznq0ptshvmlys,0
34,34,1,1,1,0,1,3,4,64.765197,64.772642,129.537839,17,bc1p2ws3jd3krrplhs2r8z7pfv8dyydy2mh0y0ejqj4eesqv4cx4c6xq6x5yjg,0.333333
35,35,0,0,0,0,1,0,1,0.004978,0,0.004978,17,3QKNtJgwfB4HGJ6EjTM6DZoqwzEmhxGnkC,0
36,36,0,0,0,0,1,0,1,0.002467,0,0.002467,17,bc1qcwgrnzxrs2jwywmsdn6tncyc48upqsefcgq3a8,0
37,37,1,1,1,14,2,8,10,0.067766,0.237997,0.305764,180,bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,0.111111
38,38,0,0,0,0,1,0,1,0.002053,0,0.002053,180,bc1qf9r6g0j089cvc6nexgccgp7hm6086w4ps9ekadw2sul30vn744xq7vlmxp,0
39,39,1,1,1,0,0,1,1,0,0.999945,0.999945,18,bc1pwjx60lcdfflxhgewqsrczuhzpq9eytnwt0swzq4a5nacu27wk0kshs4k7x,0
40,40,0,0,0,0,1,0,1,0.999945,0,0.999945,18,bc1qugqutckk8nfvkqyxyhp0u59lahzvnx5x9rkw28,0
41,41,1,1,1,0,0,1,1,0,0.006696,0.006696,98,31nMcwRhVTFS3mPJzoRXejxyw7f6TwFfcG,0
42,42,0,0,0,0,2,0,2,0.031914,0,0.031914,98,1PyJWU4dqZtahTypgrTJCBEDAic3Tcuujo,0
43,43,1,1,1,0,1,3,4,0.124794,0.125758,0.250553,140,bc1qztqfdhdznpwc8pdjw26llm63l09rlll76ytf4s,0.333333
44,44,0,0,0,0,1,0,1,0.000477,0,0.000477,140,bc1q0uucgnhn0jqvu3tdaqz88ydhlra7n0jnanzfgx,0
45,45,1,1,1,0,1,40,41,0.014476,101.115193,101.129669,19,bc1qryhgpmfv03qjhhp2dj8nw8g4ewg08jzmgy3cyx,0.025
46,46,0,0,0,0,1,0,1,0.002,0,0.002,19,bc1qam7gurm2t2nxf964jlcrgzu45ukrly2mgl48y4,0
47,47,0,0,0,0,1,0,1,100,0,100,19,32iNZDYtEhe8UuJoUbsBMvWDafr6u32TPC,0
48,48,1,1,1,0,2,2,4,0.512448,0.512471,1.024919,20,bc1q7eu588cdjx0nvxcnvqw7sqvlp8rg07xry0mwcl,1
49,49,1,1,1,0,1,1,2,0.5124,0.512378,1.024778,20,bc1p8vl4mkdd02am9x0myaevekgw23ss0wf28uyjtx9ftxdqe7wxkjnqhwv9y3,0
50,50,0,0,0,0,1,0,1,0.000691,0,0.000691,19,bc1q0mcm2tf0tm2nd37s7wzrenjgwpd6setja02050,0
51,51,1,1,1,0,1,6,7,0.116314,0.116329,0.232643,323,bc1q37mu5u0k488qcalzsv9wkdrad5q2d436q56d3e,0.166667
52,52,0,0,0,0,1,0,1,0.000003,0,0.000003,323,bc1qrupaurv757d6m0uz4n8scpw6tzv5mgdkzzdp57,0
54,54,1,1,1,0,0,1,1,0,0.006307,0.006307,22,bc1qp0dsut8m4jezugh3y9avelz969tranngnrrzsq,0
55,55,0,0,0,0,1,0,1,0.006307,0,0.006307,22,bc1qgdmfv75xu969k96m6s6x3q53c782f5d52lname,0
56,56,1,1,1,0,0,1,1,0,0.00388,0.00388,23,19VSGgW1stedq2JTBpm3nFXtY9ZGAkt7RR,0
57,57,0,0,0,0,1,0,1,0.00388,0,0.00388,23,bc1qzpfst7jpxg0spuey9g96sglxnjl7sq9zautpj4,0
58,58,1,1,1,0,1,2,3,0.170853,0.171091,0.341945,24,bc1qzueptuhlyhky09ycaukk44syrxphkq35pt65w5,0.5
59,59,0,0,0,0,1,0,1,0.000238,0,0.000238,24,1GBhfrog9cz9Wn2q7yF24zDVffqntTnkuM,0
60,60,1,1,1,0,0,1,1,0,0.000865,0.000865,25,bc1q0pqnnsy5p6sk4pkp5uyp9vqjgux2ekflfukew4,0
61,61,0,0,0,0,1,0,1,0.000865,0,0.000865,25,32A3LodpTHrSeektAQQnoD5y58noZXjCvh,0
62,62,1,1,1,0,0,2,2,0,1.086976,1.086976,26,bc1qpt368k69e9fyd64acwxmnrn69ncmam0za7fk2k,0
63,63,0,0,0,0,1,0,1,0.535325,0,0.535325,26,bc1q57wj6wqdkmwnmdsufaxsxdrt97l67sm2xsx06s,0
64,64,0,0,0,0,1,0,1,0.551652,0,0.551652,26,bc1qwg00zqlsapnerpcvwnayqhqfh46pwpzdrdzzsd,0
65,65,1,1,1,0,0,2,2,0,0.255988,0.255988,27,bc1q60ttf5tfwswzkv9qz2sqv2c8mnmy0t0k7d2rjl,0
66,66,0,0,0,0,1,0,1,0.079981,0,0.079981,27,bc1q6ktzdky2ksdx7dk24wwt9n4tncsjtn45qvue2y,0
67,67,0,0,0,0,1,0,1,0.176007,0,0.176007,27,38xXSMTXqfmaas19bmyQ8ZhhYMBVsZgGwr,0
68,68,1,1,1,0,0,1,1,0,0.004,0.004,28,bc1qnmu45tzu2c9y5hrwmsqlmnyx8m09d20stu5r9h,0
69,69,0,0,0,0,1,0,1,0.004,0,0.004,28,bc1qsnsar24cg4rdkx05x3p09d2nq5ys4xs66z0mz3,0
70,70,1,1,1,0,0,1,1,0,0.132866,0.132866,29,bc1qut5h3v3rv0z89fvaqyvylnal4637qcqasjj93l,0
71,71,0,0,0,0,1,0,1,0.132866,0,0.132866,29,1PXsRphLrhndV8a8npeE2YfJR7BNfhNHQK,0
72,72,1,1,1,0,0,1,1,0,0.39989,0.39989,30,bc1qu44gjwdfvzj494ntya4ryvswy03zq22r202hde,0
73,73,0,0,0,0,1,0,1,0.39989,0,0.39989,30,bc1qnjvg8np7knf44kzd43ksfp8ew949unwkn2au09,0
74,74,1,1,1,0,0,1,1,0,0.000156,0.000156,31,bc1qqjgete53fzfx684rws8g2qsp78pheclqg95jmg,0
75,75,0,0,0,0,3,0,3,0.001986,0,0.001986,31,bc1q788turlupt95pqqstfph50wsvcq9fgceu9zkjv,0
76,76,1,1,1,0,0,1,1,0,0.00174,0.00174,31,bc1qc7mvz7yv8jemzrryn3mu0jps5qz7ta7jvyg9dp,0
77,77,1,1,1,0,0,2,2,0,0.003301,0.003301,32,bc1qz9s4syr5e9x76j8mnpyp6x4dxn0pledcalq6r2,0
78,78,0,0,0,0,1,0,1,0.001135,0,0.001135,32,bc1q5v4w7kt00k526nfc8a3sg7agprhv9tq734sdgc20m0fr46kg08psrj2mc9,0
79,79,0,0,0,0,1,0,1,0.002166,0,0.002166,32,bc1qphfqh92ggyrtku2m6umf959s6v7yp60u2zeew9,0
80,80,1,1,1,0,0,1,1,0,0.001608,0.001608,33,bc1qsh69k02lygxnh7nkxqpnwscrav6v5skp287a3e,0
81,81,0,0,0,0,1,0,1,0.001608,0,0.001608,33,bc1q0t9gppaplqr6xp2af5grzdx89wsezlrdvjx00r,0
82,82,1,1,1,0,0,1,1,0,0.00011,0.00011,34,bc1qejqklndrvwrqcac5f0xdql3ngz5wlv76waej7e,0
83,83,0,0,0,0,1,0,1,0.00011,0,0.00011,34,bc1qq9hfn005axyqm3jvxhtrm46f7j52xr8cshf3y6,0
84,84,2,0.995327,0.997653,0,1,213,214,61.554021,62.637911,124.191932,121,bc1qprdf80adfz7aekh5nejjfrp3jksc8r929svpxk,0.004695
