id,Label,Interval,Degree,Modularity Class,Clustering Coefficient,Num triangles,eccentricity,Close Centrality,harmonic close centality,betweeness centrality,,Row Labels,Count of Degree,log(degree),log(frequency)
999,999,,1,363,0,0,24,0.06677743,0.072270126,0,,1,423,0,2.626340367
998,998,,1,275,0,0,23,0.069871623,0.077583529,0,,2,391,0.301029996,2.592176757
997,997,,3,23,0,0,22,0.085257404,0.096071895,2237.185714,,3,223,0.477121255,2.348304863
996,996,,2,272,0,0,23,0.08108947,0.092665195,2086,,4,99,0.602059991,1.995635195
995,995,,0,251,0,0,0,0,0,0,,5,30,0.698970004,1.477121255
994,994,,3,250,0,0,18,0.110069518,0.126309302,16839.48611,,6,7,0.77815125,0.84509804
993,993,,0,249,0,0,0,0,0,0,,7,6,0.84509804,0.77815125
992,992,,2,55,0,0,21,0.0991273,0.112160048,3440.964286,,Grand Total,1179,,
991,991,,2,286,0,0,20,0.089499829,0.100397869,1575.784524,,,,,
990,990,,3,270,0,0,19,0.102541458,0.117218824,12495.98571,,,,,
99,99,,1,20,0,0,19,0.095994856,0.10547792,0,,,,,
989,989,,0,248,0,0,0,0,0,0,,,,,
988,988,,1,77,0,0,22,0.088051904,0.096630786,0,,,,,
987,987,,2,23,0,0,23,0.082956259,0.093801343,4806.666667,,,,,
986,986,,3,350,0,0,20,0.095259799,0.108202717,10292.7619,,,,,
985,985,,0,247,0,0,0,0,0,0,,,,,
984,984,,5,259,0,0,21,0.105342742,0.122382831,15053.33929,,,,,
983,983,,1,23,0,0,23,0.075500325,0.082955015,0,,,,,
982,982,,4,0,0,0,21,0.099980865,0.115224118,8196.583333,,,,,
981,981,,1,52,0,0,19,0.098817967,0.107528487,0,,,,,
980,980,,1,0,0,0,25,0.070484284,0.078162737,0,,,,,
98,98,,1,350,0,0,24,0.068533578,0.07438178,0,,,,,
979,979,,3,246,0,0,18,0.107743066,0.121778499,8203.5,,,,,
978,978,,2,20,0,0,18,0.111609527,0.128612313,10777.73095,,,,,
977,977,,0,245,0,0,0,0,0,0,,,,,
976,976,,2,55,0,0,22,0.082949675,0.091554829,2086,,,,,
975,975,,0,244,0,0,0,0,0,0,,,,,
974,974,,2,55,0,0,20,0.087206876,0.099153913,4391.719048,,,,,
973,973,,0,243,0,0,0,0,0,0,,,,,
972,972,,0,242,0,0,0,0,0,0,,,,,
971,971,,2,55,0,0,19,0.085487565,0.096613031,3656.211905,,,,,
970,970,,0,241,0,0,0,0,0,0,,,,,
97,97,,2,21,0,0,21,0.094844799,0.106454476,2187.133333,,,,,
969,969,,1,0,0,0,24,0.082706767,0.090424175,0,,,,,
968,968,,1,21,0,0,22,0.077275752,0.082613813,0,,,,,
967,967,,0,240,0,0,0,0,0,0,,,,,
966,966,,2,275,0,0,21,0.080329003,0.090131551,1044,,,,,
965,965,,2,44,0,0,22,0.090853765,0.101562274,3255.166667,,,,,
964,964,,3,44,0,0,19,0.097901443,0.111590465,11248.01349,,,,,
963,963,,2,21,0,0,19,0.096038967,0.106787238,2086,,,,,
962,962,,2,0,0,0,22,0.082870738,0.091773867,2086,,,,,
961,961,,0,239,0,0,0,0,0,0,,,,,
960,960,,0,238,0,0,0,0,0,0,,,,,
96,96,,2,20,0,0,21,0.083068362,0.090962264,1044,,,,,
959,959,,2,237,0,0,1,1,1,1,,,,,
958,958,,4,350,0,0,21,0.086164248,0.098821169,10653.26667,,,,,
957,957,,1,236,0,0,1,1,1,0,,,,,
956,956,,0,235,0,0,0,0,0,0,,,,,
955,955,,2,140,0,0,19,0.087667785,0.098698407,3428.578571,,,,,
954,954,,1,364,0,0,22,0.07611625,0.082420769,0,,,,,
953,953,,2,285,0,0,19,0.100693775,0.114760965,5317.852381,,,,,
952,952,,1,55,0,0,21,0.082044437,0.088602536,0,,,,,
951,951,,1,272,0,0,24,0.071326189,0.078930325,0,,,,,
950,950,,2,281,0,0,19,0.097883102,0.110641117,6708.509524,,,,,
95,95,,1,272,0,0,28,0.055588063,0.059925214,0,,,,,
949,949,,4,250,0,0,18,0.108256501,0.124302879,16077.36825,,,,,
948,948,,0,234,0,0,0,0,0,0,,,,,
947,947,,1,256,0,0,25,0.069951135,0.075506674,0,,,,,
946,946,,2,270,0,0,24,0.072029225,0.077629295,1044,,,,,
945,945,,4,0,0,0,22,0.093621215,0.107673602,12188.94524,,,,,
944,944,,4,285,0,0,24,0.064943136,0.073386667,5208,,,,,
943,943,,3,21,0,0,21,0.093772434,0.106671752,2680.974603,,,,,
942,942,,0,233,0,0,0,0,0,0,,,,,
941,941,,2,259,0,0,21,0.09037447,0.101328818,1968.628571,,,,,
940,940,,1,232,0,0,1,1,1,0,,,,,
94,94,,2,55,0,0,24,0.071890479,0.07908197,1044,,,,,
939,939,,2,55,0,0,20,0.094441934,0.108198901,11425.95476,,,,,
938,938,,0,231,0,0,0,0,0,0,,,,,
937,937,,5,250,0,0,19,0.102170512,0.117811235,13398.42381,,,,,
936,936,,3,270,0,0,21,0.082956259,0.09342008,3830.083333,,,,,
935,935,,2,77,0,0,22,0.079813641,0.088339536,2671.390476,,,,,
934,934,,0,230,0,0,0,0,0,0,,,,,
933,933,,4,270,0,0,22,0.089614956,0.101853004,4870.62619,,,,,
932,932,,4,52,0,0,21,0.089822933,0.101328559,7281,,,,,
931,931,,0,229,0,0,0,0,0,0,,,,,
930,930,,4,140,0,0,19,0.098846008,0.113155364,8741.288095,,,,,
93,93,,1,350,0,0,22,0.078130841,0.085855364,0,,,,,
929,929,,0,228,0,0,0,0,0,0,,,,,
928,928,,2,55,0,0,20,0.08486965,0.096450588,3135.113095,,,,,
927,927,,2,55,0,0,18,0.105247256,0.118597495,5652.014286,,,,,
926,926,,0,227,0,0,0,0,0,0,,,,,
925,925,,0,226,0,0,0,0,0,0,,,,,
924,924,,0,225,0,0,0,0,0,0,,,,,
923,923,,0,224,0,0,0,0,0,0,,,,,
922,922,,3,44,0,0,21,0.093839799,0.106334612,8956.619048,,,,,
921,921,,0,223,0,0,0,0,0,0,,,,,
920,920,,2,23,0,0,28,0.065386059,0.070873259,1044,,,,,
92,92,,3,20,0,0,17,0.112016293,0.1279637,10006.9619,,,,,
919,919,,1,52,0,0,22,0.075994473,0.081479332,0,,,,,
918,918,,4,140,0,0,20,0.087675141,0.101239456,8911.390476,,,,,
917,917,,3,55,0,0,19,0.088687092,0.100891006,6094.683333,,,,,
916,916,,0,222,0,0,0,0,0,0,,,,,
915,915,,1,221,0,0,22,0.072908672,0.078635275,0,,,,,
914,914,,4,52,0,0,16,0.124970103,0.144148378,39911.51984,,,,,
913,913,,0,220,0,0,0,0,0,0,,,,,
912,912,,3,246,0,0,21,0.100114965,0.11444993,11540.05476,,,,,
911,911,,2,250,0,0,19,0.09770921,0.108772024,1044,,,,,
910,910,,1,246,0,0,22,0.075380509,0.080167551,0,,,,,
91,91,,2,270,0,0,23,0.077602852,0.084379042,2086,,,,,
909,909,,1,31,0,0,22,0.075293609,0.080873604,0,,,,,
908,908,,1,219,0,0,1,1,1,0,,,,,
907,907,,0,218,0,0,0,0,0,0,,,,,
906,906,,5,21,0,0,20,0.099571224,0.11441529,9052.769841,,,,,
905,905,,2,31,0,0,20,0.088596863,0.09782397,3126,,,,,
904,904,,2,277,0,0,25,0.0716244,0.080964016,1044,,,,,
903,903,,0,217,0,0,0,0,0,0,,,,,
902,902,,2,23,0,0,19,0.101584524,0.115096752,12424.80714,,,,,
901,901,,2,21,0,0,19,0.102773407,0.115690608,5189.515079,,,,,
900,900,,2,281,0,0,17,0.104447776,0.117044152,8936.660714,,,,,
90,90,,1,52,0,0,21,0.089714973,0.098569389,0,,,,,
9,9,,3,21,0,0,18,0.106971031,0.121712729,9741.215873,,,,,
899,899,,1,140,0,0,21,0.078435788,0.087869384,0,,,,,
898,898,,3,216,0,0,19,0.105321508,0.122386249,12927.15556,,,,,
897,897,,1,23,0,0,21,0.09510375,0.105535429,0,,,,,
896,896,,0,215,0,0,0,0,0,0,,,,,
895,895,,1,214,0,0,1,1,1,0,,,,,
894,894,,4,364,0,0,20,0.096215818,0.111608689,9434.016667,,,,,
893,893,,2,0,0,0,23,0.088304884,0.099191474,5733.955952,,,,,
892,892,,0,213,0,0,0,0,0,0,,,,,
891,891,,1,216,0,0,23,0.065480293,0.069910087,0,,,,,
890,890,,2,140,0,0,21,0.080384615,0.088274285,1044,,,,,
89,89,,0,19,0,0,0,0,0,0,,,,,
889,889,,3,285,0,0,23,0.089969867,0.103191213,10023.64167,,,,,
888,888,,1,21,0,0,22,0.072710827,0.077331247,0,,,,,
887,887,,0,212,0,0,0,0,0,0,,,,,
886,886,,3,44,0,0,20,0.098743268,0.1130512,12746.65119,,,,,
885,885,,3,261,0,0,21,0.103567889,0.120169035,15248.42619,,,,,
884,884,,5,55,0,0,19,0.109070034,0.125867406,11699.53333,,,,,
883,883,,2,52,0,0,18,0.10964222,0.122329827,1044,,,,,
882,882,,2,77,0,0,24,0.075012562,0.082391921,1857.190476,,,,,
881,881,,0,211,0,0,0,0,0,0,,,,,
880,880,,0,210,0,0,0,0,0,0,,,,,
88,88,,1,77,0,0,23,0.090680319,0.100956126,0,,,,,
879,879,,1,270,0,0,21,0.091698842,0.10107137,0,,,,,
878,878,,2,285,0,0,24,0.079070823,0.087136715,2086,,,,,
877,877,,1,55,0,0,22,0.07556584,0.083390942,0,,,,,
876,876,,3,259,0,0,19,0.092600798,0.104234446,2334.85,,,,,
875,875,,2,277,0,0,24,0.080440305,0.089144289,1044,,,,,
874,874,,1,216,0,0,19,0.093730379,0.103949793,0,,,,,
873,873,,0,209,0,0,0,0,0,0,,,,,
872,872,,0,208,0,0,0,0,0,0,,,,,
871,871,,2,281,0,0,23,0.078873877,0.087024265,2086,,,,,
870,870,,1,0,0,0,26,0.071006319,0.076081708,0,,,,,
87,87,,2,77,0,0,24,0.076155079,0.08471427,3190.816667,,,,,
869,869,,3,278,0,0,24,0.075212322,0.08385537,3911.4,,,,,
868,868,,2,246,0,0,21,0.081519619,0.087974508,1044,,,,,
867,867,,2,0,0,0,26,0.068220394,0.07400875,1044,,,,,
866,866,,7,0,0,0,19,0.112305212,0.134755125,32422.49603,,,,,
865,865,,1,272,0,0,24,0.081367282,0.09167249,0,,,,,
864,864,,1,261,0,0,23,0.066009728,0.071243124,0,,,,,
863,863,,3,363,0,0,18,0.09652688,0.110179979,7025.095238,,,,,
862,862,,3,55,0,0,20,0.096109629,0.111297487,17467.95,,,,,
861,861,,0,207,0,0,0,0,0,0,,,,,
860,860,,0,206,0,0,0,0,0,0,,,,,
86,86,,2,44,0,0,22,0.081285003,0.088766047,1044,,,,,
859,859,,1,21,0,0,21,0.086299447,0.095364495,0,,,,,
858,858,,1,205,0,0,1,1,1,0,,,,,
857,857,,5,281,0,0,18,0.099732773,0.113871913,7226.639286,,,,,
856,856,,2,221,0,0,19,0.113772455,0.130819777,9921.136111,,,,,
855,855,,0,204,0,0,0,0,0,0,,,,,
854,854,,1,246,0,0,24,0.076221736,0.081934399,0,,,,,
853,853,,2,77,0,0,24,0.074166075,0.081494996,1044,,,,,
852,852,,0,203,0,0,0,0,0,0,,,,,
851,851,,1,52,0,0,22,0.086306574,0.093694915,0,,,,,
850,850,,0,202,0,0,0,0,0,0,,,,,
85,85,,1,363,0,0,29,0.05014636,0.053366092,0,,,,,
849,849,,4,272,0,0,23,0.088566828,0.10417286,16322.5119,,,,,
848,848,,0,201,0,0,0,0,0,0,,,,,
847,847,,1,200,0,0,1,1,1,0,,,,,
846,846,,7,21,0,0,17,0.122825576,0.145718471,41209.25913,,,,,
845,845,,1,285,0,0,20,0.100917431,0.112122426,0,,,,,
844,844,,3,272,0,0,24,0.071374906,0.08070066,5204,,,,,
843,843,,1,23,0,0,24,0.070214339,0.076048529,0,,,,,
842,842,,3,21,0,0,20,0.095025916,0.107124747,9704.94881,,,,,
841,841,,1,21,0,0,21,0.083727265,0.090447595,0,,,,,
840,840,,0,199,0,0,0,0,0,0,,,,,
84,84,,1,286,0,0,23,0.082179931,0.089718405,0,,,,,
839,839,,3,261,0,0,20,0.096100791,0.110397877,11686.52619,,,,,
838,838,,3,272,0,0,27,0.05885666,0.064917776,2087,,,,,
837,837,,1,277,0,0,25,0.071614583,0.080326057,0,,,,,
836,836,,1,29,0,0,21,0.087623679,0.097088717,0,,,,,
835,835,,1,272,0,0,23,0.081064308,0.091788002,0,,,,,
834,834,,2,246,0,0,22,0.089900206,0.10003372,2086,,,,,
833,833,,3,31,0,0,21,0.085951637,0.096815043,7278,,,,,
832,832,,2,363,0,0,25,0.062668666,0.068565786,4164,,,,,
831,831,,0,198,0,0,0,0,0,0,,,,,
830,830,,2,0,0,0,23,0.085669782,0.096051776,4164,,,,,
83,83,,0,18,0,0,0,0,0,0,,,,,
829,829,,6,364,0,0,18,0.109183993,0.130009048,24597.76905,,,,,
