Id,Label,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,clustering,triangles
0,0,0,166,166,0,166,166,8,0.310754,0.399597,0,0,0,0
1,1,1,6,7,1,6,7,4,0.516129,0.640625,16,30,0,0
2,2,1,12,13,1,12,13,5,0.424242,0.524405,56,1,0,0
3,3,1,0,1,1,0,1,0,0,0,0,0,0,0
4,4,1,2,3,1,2,3,2,0.666667,0.75,8,1,0,0
5,5,1,8,9,1,8,9,3,0.6,0.733333,15,23,0,0
6,6,1,4,5,1,4,5,4,0.441176,0.555556,15,50,0,0
7,7,1,12,13,1,12,13,5,0.438356,0.604687,32,35,0,0
8,8,1,22,23,1,22,23,7,0.321918,0.390738,282,2,0,0
9,9,1,1,2,1,1,2,2,0.666667,0.75,2,0,0,0
10,10,1,9,10,1,9,10,3,0.666667,0.770833,32,2,0,0
11,11,1,7,8,1,7,8,5,0.37069,0.464729,86,18,0,0
12,12,1,12,13,1,12,13,4,0.479167,0.576087,46,12,0,0
13,13,1,0,1,1,0,1,0,0,0,0,0,0,0
14,14,1,13,14,1,13,14,5,0.386935,0.480736,77,52,0,0
15,15,1,18,19,1,18,19,4,0.533333,0.649306,96,5,0,0
16,16,1,36,37,1,36,37,6,0.418953,0.529266,336,42,0,0
17,17,1,34,35,1,34,35,7,0.330606,0.438083,202,19,0,0
18,18,1,7,8,1,7,8,4,0.576923,0.705556,30,1,0,0
19,19,1,4,5,1,4,5,2,0.7,0.785714,7,4,0,0
20,20,1,1,2,1,1,2,2,0.538462,0.571429,14,19,0,0
21,21,1,3,4,1,3,4,3,0.485714,0.54902,34,22,0,0
22,22,1,3,4,1,3,4,2,0.8,0.875,8,19,0,0
23,23,1,4,5,1,4,5,3,0.636364,0.761905,14,30,0,0
24,24,1,3,4,1,3,4,2,0.666667,0.75,12,2,0,0
25,25,1,11,12,1,11,12,6,0.354067,0.447072,148,55,0,0
26,26,1,5,6,1,5,6,5,0.391304,0.470833,108,14,0,0
27,27,1,1,2,1,1,2,3,0.5,0.566667,5,44,0,0
28,28,1,1,2,1,1,2,1,1,1,1,0,0,0
29,29,1,7,8,1,7,8,3,0.6875,0.80303,33,5,0,0
30,30,1,6,7,1,6,7,2,0.75,0.833333,18,2,0,0
31,31,1,10,11,1,10,11,4,0.555556,0.704167,60,56,0,0
32,32,1,0,1,1,0,1,0,0,0,0,2,0,0
33,33,1,3,4,1,3,4,5,0.37069,0.429845,43,43,0,0
34,34,1,9,10,1,9,10,3,0.722222,0.833333,13,41,0,0
35,35,1,1,2,1,1,2,4,0.384615,0.483333,5,9,0,0
36,36,1,4,5,1,4,5,2,0.833333,0.9,5,47,0,0
37,37,1,1,2,1,1,2,2,0.666667,0.75,4,30,0,0
38,38,1,8,9,1,8,9,2,0.833333,0.9,30,42,0,0
39,39,1,9,10,1,9,10,4,0.52,0.63141,104,14,0,0
40,40,1,0,1,1,0,1,0,0,0,0,42,0,0
41,41,1,0,1,1,0,1,0,0,0,0,0,0,0
42,42,1,4,5,1,4,5,4,0.538462,0.72619,14,19,0,0
43,43,1,7,8,1,7,8,3,0.619048,0.74359,39,51,0,0
44,44,1,1,2,1,1,2,1,1,1,1,0,0,0
45,45,1,1,2,1,1,2,6,0.322917,0.356989,93,48,0,0
46,46,1,2,3,1,2,3,4,0.407407,0.492424,22,52,0,0
47,47,1,0,1,1,0,1,0,0,0,0,47,0,0
48,48,1,9,10,1,9,10,5,0.435897,0.558333,34,53,0,0
49,49,1,17,18,1,17,18,4,0.542857,0.679825,76,43,0,0
50,50,1,2,3,1,2,3,2,0.75,0.833333,3,0,0,0
51,51,1,1,2,1,1,2,3,0.428571,0.5,18,42,0,0
52,52,1,6,7,1,6,7,4,0.516129,0.640625,16,13,0,0
53,53,1,0,1,1,0,1,0,0,0,0,0,0,0
54,54,1,2,3,1,2,3,1,1,1,8,51,0,0
55,55,1,26,27,1,26,27,5,0.471795,0.581884,184,48,0,0
56,56,1,2,3,1,2,3,2,0.75,0.833333,15,14,0,0
57,57,1,3,4,1,3,4,3,0.529412,0.62963,18,50,0,0
58,58,1,2,3,1,2,3,1,1,1,2,0,0,0
59,59,1,1,2,1,1,2,1,1,1,2,0,0,0
60,60,1,0,1,1,0,1,0,0,0,0,19,0,0
